page_id,page,incoming_from_cities
16939,Oschersleben (Bode),124
61354,Bad Tölz,144
347051,Illertissen,58
38939,Cham (Oberpfalz),527
143616,Bühl (Baden),129
61699,Attendorn,268
70581,Schwabach,244
1359458,Eisenach,1587
31110,Neukirchen-Vluyn,46
156331,Großenhain,571
87169,Dingolfing,185
68920,Homburg,288
60919,Ahaus,115
266163,Bad Sobernheim,78
75321,Tegernsee (Stadt),182
66480,Radolfzell am Bodensee,65
41323,Wolfratshausen,83
14070,Gifhorn,584
112745,Schopfheim,177
95132,Radeberg,212
32868,Soest,838
18473,Winsen (Luhe),88
18440,Leer (Ostfriesland),936
326912,Groß-Umstadt,313
16944,Erkelenz,915
75659,Bad Honnef,501
19729,Helmstedt,437
30461,Baden-Baden,301
340689,Freyung,207
3439019,Lich,173
2713295,Soltau,303
3661662,Grevenbroich,583
1702,Flörsheim am Main,58
192350,Riedlingen,163
55745,Eberbach,152
3773883,Trier,3514
27843,Bünde,311
41348,Göppingen,518
671,Bad Homburg vor der Höhe,162
49921,Moers,589
76521,Wegberg,418
14858,Herdecke,89
27947,Borna,374
21227,Eckernförde,523
141898,Wörth am Rhein,87
82985,Bad Nauheim,105
19535,Erkner,24
3958260,Quakenbrück,74
95547,Aichach,404
110103,Gronau (Westf.),117
661515,Grevesmühlen,118
2247655,Suhl,293
81220,Torgau,393
149929,Stadtallendorf,49
18422,Buchholz in der Nordheide,139
18732,Köthen (Anhalt),160
272251,Rockenhausen,136
73172,Düren,1087
2968,Leonberg,176
71605,Vellmar,35
66603,Ratingen,244
42844,Erftstadt,479
111395,Friedberg (Hessen),261
138103,Zossen,228
100182,Traunreut,80
108530,Stadtlohn,36
84606,Kaarst,232
669,Bad Soden am Taunus,58
31220,Heide (Holstein),346
346639,Bad Kötzting,23
85376,Bad Segeberg,199
85512,Bocholt,256
350139,Neuhaus am Rennweg,116
204165,Taunusstein,101
832551,Tauberbischofsheim,335
14069,Bückeburg,110
13431,Hagenow,208
252027,Schongau,162
763500,Oppenheim,133
286167,Wahlstedt,2
199959,Karlstadt,93
272265,Eisenberg (Pfalz),32
192431,Syke,453
2741264,Dinkelsbühl,559
72013,Olpe,650
192332,Schneeberg (Erzgebirge),195
154401,Seligenstadt,103
104625,Waldsassen,100
3185995,Geesthacht,65
109577,Stuhr,110
33478,Bottrop,381
95970,Annaberg-Buchholz,341
132795,Wissen (Stadt),76
18443,Munster (Örtze),68
1594,Frankenthal (Pfalz),274
74301,Birkenfeld (Nahe),190
15464,Neu-Isenburg,74
3310052,Wadern,492
17389,Meppen,282
54869,Gevelsberg,103
3379143,Hattersheim am Main,18
1169151,Lohr am Main,160
40650,Schwerte,157
104151,Monschau,225
2350,Itzehoe,254
331685,Battenberg (Eder),81
9295,Strausberg,75
276717,Nauen,315
116987,Hermeskeil,64
81000,Jülich,703
100228,Bad Langensalza,262
2332,Hameln,519
4676987,Backnang,171
184006,Höhr-Grenzhausen,35
21241,Wolgast,137
19305,Zittau,722
192334,Bad Schlema,52
71218,Remagen,199
32264,Bad Säckingen,108
89075,Balingen,379
3399969,Arnstadt,427
272240,Dahn,129
354315,Marktoberdorf,30
272248,Westerburg,212
43477,Datteln,124
35752,Grafing bei München,189
2348185,Schwäbisch Hall,706
291293,Rodewisch,27
24722,Wunstorf,151
883481,Schönebeck (Elbe),172
4913845,Wismar,305
163359,Schwalmstadt,197
382533,Krumbach (Schwaben),181
73867,Rastatt,359
169062,Weißwasser/Oberlausitz,73
18450,Uelzen,481
130508,Burglengenfeld,58
129900,Erding,358
42418,Ettlingen,150
15654,Cuxhaven,695
17979,Wildeshausen,92
109413,Artern/Unstrut,4
203098,Sömmerda,208
17959,Ochtrup,52
110248,Dreieich,256
3840777,Emden,2204
144711,Grafenau (Niederbayern),212
22109,Solingen,663
2327838,Westerstede,203
16781,Bremervörde,293
81135,Bretten,109
3729892,Lüdenscheid,1899
46587,Ahrensburg,33
66508,Merzig,175
18452,Stade,519
9401,Eberswalde,182
2567816,Radevormwald,2274
59902,Bergisch Gladbach,2533
89359,Bebra,244
106108,Wunsiedel,147
72043,Neunkirchen (Siegerland),254
208340,Nagold (Stadt),65
37974,Lünen,289
271016,Vallendar,31
57421,Königswinter,560
133395,Sulingen,140
18424,Duderstadt,389
116551,Bogen (Stadt),193
339933,Lauingen (Donau),36
21450,Detmold,735
2803,Kronach,198
4037496,Aalen,379
142600,Auerbach/Vogtl.,71
272258,Lauterecken,202
4284665,Brilon,749
3617584,Lampertheim,198
87894,Miltenberg,240
9403,Rathenow,203
518071,Miesbach,160
4539203,Mittweida,278
49846,Mülheim an der Ruhr,325
140527,Zeulenroda-Triebes,48
5725,Wülfrath,215
42523,Gelnhausen,259
73645,Hersbruck,127
244628,Biedenkopf,445
33170,Zweibrücken,274
126553,Sinzig,77
44848,Frankenberg (Eder),351
320639,Marktheidenfeld,186
31614,Springe,280
63581,Kelheim,164
272256,Nastätten,50
162323,Penzberg,50
145048,Lahr/Schwarzwald,118
3952551,Melle,291
151349,Bingen am Rhein,445
32566,Pirmasens,265
80590,Waldshut-Tiengen,149
16926,Naumburg (Saale),583
34974,Sinsheim,316
311741,Teterow,131
260748,Hungen,145
4084139,Saarlouis,443
127528,Kevelaer,129
72032,Kreuztal,227
704534,Schmölln,351
4670533,Rottach-Egern,18
1030663,Stolberg (Rheinland),170
292911,Trostberg,28
67185,Osterholz-Scharmbeck,149
80150,Bad Freienwalde (Oder),72
11706,Arnsberg,829
85414,Waltrop,35
85527,Dormagen,319
86214,Troisdorf,224
54974,Freilassing,66
77018,Günzburg,147
71874,Voerde (Niederrhein),75
4164291,Warendorf,240
33589,Linz am Rhein,226
17051,Haßloch,18
19276,Waren (Müritz),86
21751,Schleswig,1918
38235,Hamm,1202
19489,Korschenbroich,128
9447,Bremerhaven,923
61345,Bad Ems,82
133826,Herxheim bei Landau/Pfalz,34
21184,Barsinghausen,259
29519,Starnberg,126
15847,Emmendingen,156
89047,Mühlhausen/Thüringen,447
17756,Germersheim,151
78327,Prüm,381
2869,Korbach,256
688997,Ennepetal,104
57537,Emmerich am Rhein,146
108909,Wächtersbach,49
85365,Mindelheim,231
78667,Friesoythe,192
29136,Sankt Augustin,189
169821,Leipheim,25
72053,Werl,198
21249,Anklam,271
71994,Schmallenberg,948
59600,Wesel,502
141777,Mechernich,338
4819921,Marienberg,413
67940,Dietzenbach,50
100007,Döbeln,168
39745,Nettetal,110
16784,Zeven,65
126539,Eltville am Rhein,66
73371,Glauchau,119
691449,Wangen im Allgäu,139
1029455,Ueckermünde,104
201488,Hammelburg,166
1771288,Zell (Mosel),137
2491475,Konz,109
71920,Kamen,209
92387,Wittlich,363
436733,Naila,46
16934,Merseburg,665
1880774,Langenfeld (Rheinland),516
496168,Rheine,296
61466,Burgdorf (Region Hannover),338
35021,Lingen (Ems),373
17918,Wolfenbüttel,396
69968,Fritzlar,348
55872,Selb,171
4279842,Lichtenstein/Sa.,21
1123650,Goslar,633
272235,Meisenheim,68
3230988,Lübbenau/Spreewald,156
196021,Buchen (Odenwald),96
4269645,Bernkastel-Kues,200
26764,Finsterwalde,79
132750,Höchstadt an der Aisch,60
130598,Lengerich (Westfalen),83
69084,Bruchköbel,55
1599,Freudenstadt,306
101748,Lindenberg im Allgäu,23
3333933,Hildburghausen,278
801381,Schmalkalden,407
58547,Regen (Stadt),346
3347283,Rudolstadt,459
61785,Crailsheim,228
69324,Saarburg,178
154579,Sankt Goar,108
73224,Tönisvorst,95
106657,Geilenkirchen,762
70970,Neuötting,36
42835,Lennestadt,578
4468598,Rüdesheim am Rhein,100
70803,Neuenhagen bei Berlin,14
285685,Nieder-Olm,52
184704,Melsungen,111
129005,Ellwangen (Jagst),161
20110,Herford,1241
42411,Velbert,522
2508047,Pfaffenhofen an der Ilm,94
57795,Schramberg,104
35555,Meschede,394
48367,Stockach,100
95428,Barntrup,106
28314,Meerbusch,231
18416,Aurich,1558
3217580,Bad Wörishofen,56
564617,Gerolzhofen,90
195638,Mühldorf am Inn,281
34123,Landau in der Pfalz,319
32184,Murnau am Staffelsee,51
49301,Vlotho,205
106671,Herzogenaurach,64
4352760,Wernigerode,182
9375,Bad Belzig,214
1899960,Stendal,978
11519,Zerbst/Anhalt,109
133861,Kleve,515
101939,Borken,318
46366,Landsberg am Lech,212
5599898,Mosbach,204
17103,Neustadt an der Weinstraße,279
35960,Ebersberg,261
15625,Recklinghausen,349
191536,Waldkirch,52
4931761,Güstrow,316
43023,Kirchheim unter Teck,136
108279,Heilbad Heiligenstadt,227
59934,Schleiz,271
26626,Viernheim,49
20494,Altötting,163
102370,Vaihingen an der Enz,142
95964,Bad Soden-Salmünster,100
189440,Butzbach,210
307600,Sontra,182
59595,Sigmaringen,785
127820,Mühlacker,107
2624683,Nürtingen,323
87752,Grimma,558
2246972,Albstadt,186
6583364,Saalfeld (Mühlhausen),5
4346285,Bedburg,214
93125,Vreden,64
143985,Schwarzenberg/Erzgeb.,306
48727,Bad Hersfeld,405
101931,Ahlen,75
4809,Sankt Goarshausen,85
71839,Sarstedt,85
96864,Löbau,673
909333,Herrenberg,246
26819,Ilmenau,511
82145,Hürth,690
4766,Speyer,680
102336,Daun,263
330544,Sonthofen,41
12019,Kulmbach,246
732273,Pegnitz (Stadt),159
95945,Bad Gandersheim,140
18004,Freital,827
72024,Bad Berleburg,229
71267,Iserlohn,536
102375,Seevetal,136
49078,Donauwörth,263
1034921,Bad Salzuflen,271
143597,Seesen,145
182607,Blaubeuren,83
15094,Oberhausen,995
110084,Crimmitschau,122
3667832,Tuttlingen,441
42191,Wipperfürth,1341
145074,Georgsmarienhütte,74
1171331,Esslingen am Neckar,455
156865,Wolfhagen,111
142730,Weißenburg in Bayern,584
85103,Alzenau,196
16501,Halberstadt,439
45078,Dachau,174
37574,Wasserburg am Inn,130
53286,Riesa,372
1322212,Lübbecke,458
158038,Lauterbach (Hessen),259
112650,Neustadt an der Aisch,122
85723,Alsdorf,304
118879,Haltern am See,97
99743,Schlüchtern,278
95509,Beverungen,175
91399,Bietigheim-Bissingen,235
139195,Griesheim,48
219388,Grünstadt,179
3606,Nidda,424
3145441,Greiz,574
142764,Rodgau,149
98118,Weinheim,223
112530,Bad Lobenstein,145
39252,Lippstadt,332
14061,Rotenburg (Wümme),272
3385428,Schwalbach am Taunus,23
21935,Kempen,244
101936,Baesweiler,98
160387,Leutkirch im Allgäu,109
269409,Nierstein,33
10948,Salzwedel,543
2787,Kronberg im Taunus,100
73058,Kehl,149
342945,Bad Neustadt an der Saale,80
145607,Landstuhl,37
104154,Würselen,52
381753,Immenstadt im Allgäu,64
481394,Allendorf (Eder),64
68111,Bad Orb,52
95475,Steinheim (Westfalen),208
107545,Spremberg,387
1651435,Schwedt/Oder,115
897638,Euskirchen,721
18497,Ludwigslust,358
125531,Werdohl,135
156895,Gunzenhausen,1470
95571,Boppard,176
76995,Geldern,325
9410,Prenzlau,580
36673,Witten,676
130027,Engelskirchen,749
15098,Gelsenkirchen,568
3134955,Sundern (Sauerland),125
706460,Bad Krozingen,61
846552,Haldensleben,144
72001,Winterberg,269
136080,Kandel (Pfalz),34
15318,Braunau am Inn,112
54688,Kaltenkirchen,46
4231117,Laatzen,191
54806,Rinteln,282
95448,Blomberg,240
118241,Geisenheim,58
162254,Hennigsdorf,72
744725,Wittingen,227
14077,Walsrode,181
50771,Bad Bergzabern,97
92663,Uslar,391
142000,Niederkassel,71
3390424,Weiterstadt,80
97758,Marktredwitz,67
73638,Lauf an der Pegnitz,246
41414,Ingelheim am Rhein,135
48639,Löhne,219
1981270,Bernburg (Saale),159
67882,Bad Doberan,115
90896,Witzenhausen,134
36184,Bad Neuenahr-Ahrweiler,202
16884,Nienburg/Weser,509
74787,Lichtenfels (Oberfranken),353
16921,Burg (bei Magdeburg),285
3683877,Forst (Lausitz),89
182262,Laupheim,67
26470,Hennef (Sieg),722
85383,Hechingen,204
133335,Zwiesel,32
18504,Neustrelitz,274
90059,Gaggenau,115
4603259,Bitburg,654
71403,Bernau bei Berlin,265
1473612,Hamminkeln,115
30296,Überlingen,53
70671,Füssen,116
155978,Besigheim,130
272263,Hachenburg,413
31198,Leichlingen (Rheinland),518
142260,Mölln,39
206199,Limbach-Oberfrohna,108
139544,Lohne (Oldenburg),106
2249,Hochheim am Main,31
3062,Ludwigshafen am Rhein,456
354790,Peiting,24
339831,Pfullendorf,379
179866,Übach-Palenberg,2
37381,Cloppenburg,271
18579,Staßfurt,326
21191,Buxtehude,174
9404,Oranienburg,451
494503,Goch,120
3099519,Lutherstadt Eisleben,146
143124,Horb am Neckar,206
35799,Groß-Gerau,278
333588,Wolfach,70
193141,Dippoldiswalde,488
61762,Reichenbach im Vogtland,108
71941,Selm,129
17904,Altenburg,1833
28681,Monheim am Rhein,140
99539,Rödermark,69
71934,Werne,147
258185,Bad Wildungen,202
717226,Elsenfeld,23
212542,Werdau,200
15893,Radebeul,584
96795,Oberstdorf,116
141648,Bürstadt,92
2851447,Eschwege,208
3454662,Weimar,1154
268377,Edenkoben,40
74138,Schrobenhausen,95
95445,Lage (Lippe),367
4002438,Warstein,158
75274,Idar-Oberstein,139
86221,Beckum,111
3340,Meißen,2308
36778,Nordenham,154
2968351,Furth im Wald,74
66746,Espelkamp,169
2785,Kelkheim (Taunus),91
45647,Burghausen,84
47377,Frechen,203
15855,Waiblingen,197
349196,Stollberg/Erzgeb.,212
3437365,Abensberg,123
807643,Großburgwedel,47
71553,Plettenberg,170
41659,Marsberg,265
158416,Wirges,47
102862,Baumholder,68
69223,Michelstadt,148
94786,Bad Blankenburg,103
61687,Bad Nenndorf,80
19288,Parchim,433
130347,Neuerburg,50
129925,Hohenstein-Ernstthal,39
97147,Rheinberg,218
152423,Heringen (Werra),86
1535076,Obernburg am Main,57
150292,Erbach (Odenwald),307
142584,Fürstenwalde/Spree,121
788599,Mörfelden-Walldorf,33
3199881,Parsberg,78
83274,Lemgo,336
203103,Stadtroda,103
61808,Heinsberg,1028
77991,Staufen im Breisgau,49
249319,Domažlice,408
72047,Sprockhövel,207
62986,Dillingen an der Donau,186
71285,Mainburg,43
95950,Bad Salzungen,489
4021774,Öhringen,97
75781,Vilsbiburg,67
124189,Mühlheim am Main,36
145689,Hausham,19
46345,Lebach,118
18429,Garbsen,227
17803,Oschatz,254
85537,Gladbeck,152
26355,Eutin,109
158708,Lüdinghausen,79
130796,Weilburg,511
17392,Delmenhorst,188
