page,type,incoming,avg
Schwäbisch Hall,2,5710,52.2311111111111111
Jülich,6,5698,63.9543568464730290
Schwäbisch Gmünd,2,5681,60.7257142857142857
Lindau (Bodensee),2,5662,115.0955056179775281
Kleve,6,5597,83.7431192660550459
Halberstadt,3,5585,44.8493150684931507
Cheb,2,5583,40.4955752212389381
Leer (Ostfriesland),2,5535,87.3829787234042553
Zwickau,1,5491,81.8256880733944954
Recklinghausen,6,5414,108.9406779661016949
Merseburg,3,5374,84.5471698113207547
Wolfenbüttel,2,5306,102.0937500000000000
Sigmaringen,2,5170,92.2521739130434783
Cuxhaven,2,5147,314.8260869565217391
Norden (Ostfriesland),2,5139,80.3222222222222222
Neuwied,5,5097,87.8522167487684729
Friedrichshafen,1,5064,181.9182389937106918
Lörrach,1,5048,182.8406113537117904
Naumburg (Saale),3,5027,93.8461538461538462
Bad Kreuznach,2,4982,56.1712328767123288
Dachau,2,4908,141.2075471698113208
Wismar,2,4878,58.1518987341772152
Moers,6,4858,219.4946236559139785
Hameln,3,4834,60.3301886792452830
Esslingen am Neckar,2,4791,142.3591731266149871
Oberstdorf,2,4784,32.4074074074074074
Rudolstadt,3,4783,76.2500000000000000
Kaufbeuren,1,4775,50.6705882352941176
Hemer,6,4708,83.9570957095709571
Stendal,3,4603,30.6712328767123288
Ilmenau,2,4557,55.5795454545454545
Saarlouis,2,4471,191.2941176470588235
Unna,6,4433,79.1106382978723404
Limburg an der Lahn,3,4365,88.3504672897196262
Greiz,2,4325,54.1217391304347826
Viersen,6,4293,61.4440559440559441
Landau in der Pfalz,3,4280,80.0833333333333333
Landau in der Pfalz,5,4280,80.0833333333333333
Rendsburg,2,4262,85.1973684210526316
Aue (Sachsen),2,4237,93.9939393939393939
Lemgo,6,4227,70.1695906432748538
Heinsberg,6,4226,55.7500000000000000
Wesel,6,4223,99.6065573770491803
Freital,2,4195,296.3033586132177681
Euskirchen,6,4182,43.5317073170731707
Neustadt an der Weinstraße,5,4164,88.6875000000000000
Suhl,3,4118,58.1101694915254237
Sondershausen,2,4108,66.0506329113924051
Helmstedt,2,4072,62.2477876106194690
Gunzenhausen,2,4056,46.1174242424242424
Kulmbach,3,4023,140.8989898989898990
Eckernförde,2,3990,42.2531645569620253
Bad Homburg vor der Höhe,2,3967,74.7380191693290735
Neustrelitz,2,3904,31.5285714285714286
Bensheim,2,3887,101.2032085561497326
Pirmasens,2,3837,66.8571428571428571
Eberswalde,2,3834,100.1304347826086957
Zittau,2,3830,60.5655737704918033
Hattingen,6,3827,69.5340253748558247
Roth,2,3814,78.2812500000000000
Güstrow,2,3790,52.2291666666666667
Offenburg,1,3771,82.8405797101449275
Aalen,2,3748,97.6132075471698113
Arnstadt,2,3736,350.7469135802469136
Warburg,6,3722,48.7054263565891473
Göppingen,2,3701,70.2702702702702703
Friedberg (Hessen),3,3692,99.6549295774647887
Bingen am Rhein,2,3680,78.6861702127659574
Mühlhausen/Thüringen,3,3651,4966.5454545454545455
Rottweil,2,3647,59.9577464788732394
Neumünster,1,3644,28.3600000000000000
Rastatt,2,3642,103.8660714285714286
Schmallenberg,6,3641,65.3113772455089820
Homburg,2,3640,82.4327485380116959
Homburg,3,3640,82.4327485380116959
Annaberg-Buchholz,2,3597,184.8703703703703704
Bad Honnef,6,3582,93.8393162393162393
Bottrop,2,3575,174.5823045267489712
Olpe,6,3567,42.5328467153284672
Frankenthal (Pfalz),2,3562,253.6531791907514451
Höxter,6,3543,99.5904761904761905
Cham (Oberpfalz),2,3520,58.9487179487179487
Sonneberg,2,3476,59.7380952380952381
Füssen,2,3469,74.2990654205607477
Radevormwald,6,3457,38.0411471321695761
Husum,2,3454,75.2857142857142857
Bruchsal,2,3440,93.0000000000000000
Gummersbach,6,3341,39.9653465346534653
Eilenburg,2,3319,49.2804878048780488
Grimma,2,3293,38.9066666666666667
Prenzlau,2,3282,58.8400000000000000
Apolda,2,3278,48.7986111111111111
Brühl (Rheinland),6,3261,98.0089552238805970
Zweibrücken,3,3260,98.5641025641025641
Meschede,6,3246,66.3407079646017699
Hilden,6,3194,108.3926940639269406
Weilburg,2,3171,73.8504672897196262
Parchim,2,3168,31.9210526315789474
Königswinter,6,3165,185.2313003452243959
Coesfeld,6,3161,71.4333333333333333
Lippstadt,6,3141,59.3855421686746988
Itzehoe,2,3124,49.8750000000000000
Neunkirchen (Saar),2,3115,64.9136363636363636
Siegburg,6,3113,101.2575000000000000
Northeim,2,3107,55.7849462365591398
Wernigerode,2,3091,29.8375000000000000
Stolberg (Rheinland),6,3086,87.3163538873994638
Weißenburg in Bayern,2,3081,56.9036144578313253
Salzwedel,2,3073,33.6949152542372881
Villingen-Schwenningen,1,3071,45.9629629629629630
Landsberg am Lech,2,3060,76.8333333333333333
Rheine,6,3060,48.6000000000000000
Delmenhorst,3,3058,56.2200000000000000
Bad Hersfeld,3,3044,79.1595744680851064
Boppard,2,3026,124.7259259259259259
Löbau,2,3005,48.7542372881355932
Velbert,6,3003,46.2096774193548387
Hürth,6,3002,444.3437967115097160
Uelzen,2,2987,58.2873563218390805
Peine,2,2977,66.5617977528089888
Werl,6,2975,44.5847953216374269
Deggendorf,1,2969,139.3780487804878049
Nördlingen,2,2969,49.2162162162162162
Neuruppin,2,2967,50.2448979591836735
Einbeck,2,2953,52.5447154471544715
Schmalkalden,2,2951,65.1111111111111111
Kronach,2,2950,42.1090909090909091
Lübbecke,6,2942,71.5197740112994350
Bocholt,6,2926,47.6666666666666667
Ludwigslust,2,2914,79.9534883720930233
Andernach,2,2911,93.5444444444444444
Büdingen,2,2902,70.0847457627118644
Oranienburg,2,2901,122.0547945205479452
Erkelenz,6,2889,36.6797752808988764
Weißenfels,2,2886,66.5454545454545455
Soltau,2,2860,62.0000000000000000
Dillenburg,2,2855,100.8640776699029126
Bergheim,6,2822,57.3472803347280335
Schneeberg (Erzgebirge),2,2822,103.5185185185185185
Riesa,2,2816,62.3857142857142857
Neumarkt in der Oberpfalz,1,2802,40.6666666666666667
Eutin,2,2799,30.9462365591397849
Tuttlingen,2,2795,69.0312500000000000
Nordhorn,3,2781,50.7413793103448276
Gifhorn,2,2754,34.8923076923076923
Teltow,2,2728,182.4469178082191781
Holzminden,2,2716,125.8508771929824561
