Berlin,1,639340,121.4991741480241351
Köln,1,220329,117.4434363903400323
Hamburg,1,218564,105.9195164306705851
München,1,198911,108.2751279664960447
Leipzig,1,124118,128.9122380136039374
Dresden,1,121232,135.9667896678966790
Hannover,1,100271,114.0983330211650122
Nürnberg,1,98748,90.2265007719553174
Stuttgart,1,87723,124.4280958006658791
Bremen,1,85392,92.6027083333333333
Frankfurt am Main,1,83723,136.9538180553139676
Düsseldorf,1,79853,110.7353030764544624
Braunschweig,1,66259,103.6432829888712242
Bonn,1,60649,113.3418817379941196
Lübeck,1,60036,164.4974733295901179
Münster (Westfalen),1,51712,113.1995637949836423
Aachen,1,51604,74.8849863962404155
Mainz,1,50182,143.8565377532228361
Mainz,5,50182,143.8565377532228361
Magdeburg,1,44389,82.8254247217340363
Augsburg,1,40927,76.0426212040490144
Essen,1,40924,122.1026916698558490
Heilbronn,1,39707,103.0384884534639608
Karlsruhe,1,39090,123.2902675014228799
Heidelberg,1,36902,138.2876198416006669
Kassel,1,36303,96.6433002481389578
Dortmund,1,36220,108.6452920582273816
Kiel,1,35539,80.4039874081846800
Mannheim,1,35345,136.0153911928174434
Erfurt,1,31012,130.3490701001430615
Rostock,1,30719,83.5300546448087432
Koblenz,1,30583,102.6705399863294600
Koblenz,5,30583,102.6705399863294600
Potsdam,1,29440,358.4538916003082456
Halle (Saale),1,29079,78.3113402061855670
Jena,1,28824,75.6954703832752613
Darmstadt,1,28656,159.0375541646605681
Trier,1,27314,84.6487804878048780
Trier,5,27314,84.6487804878048780
Göttingen,1,27235,110.4174876847290640
Regensburg,1,27161,68.4492753623188406
Mönchengladbach,1,27144,96.8926130816791409
Radebeul,2,26412,217.5117056856187291
Freiburg im Breisgau,1,25959,108.3708530805687204
Quedlinburg,2,25726,32.2519893899204244
Wuppertal,1,25441,70.9963203463203463
Duisburg,1,25056,152.9273890142964635
Stralsund,1,23689,48.9680232558139535
Chemnitz,1,23673,97.7063197026022305
Weimar,3,22169,124.6311154598825832
Wiesbaden,1,22059,188.0404271548436308
Bochum,1,21694,100.6801831262262917
Tübingen,1,21401,196.1730474732006126
Würzburg,1,20799,73.1893095768374165
Bielefeld,1,20412,99.0333935018050542
Ulm,1,20181,93.5243243243243243
Marburg,1,20060,97.0126849894291755
Flensburg,1,20045,96.2289156626506024
Osnabrück,1,19277,85.3234421364985163
Saarbrücken,1,19149,87.7102941176470588
Bamberg,1,18073,66.6735751295336788
Schwerin,1,18027,58.6653696498054475
Hanau,1,17705,195.4469223907225691
Coburg,1,17173,55.6334661354581673
Greifswald,1,16749,75.1470588235294118
Hildesheim,1,16635,67.2639225181598063
Bayreuth,1,15892,75.4710743801652893
Speyer,3,15648,127.5965517241379310
Paderborn,1,15427,118.0257142857142857
Gießen,1,15401,130.9642004773269690
Gera,1,15186,49.9147869674185464
Görlitz,1,15015,71.1682692307692308
Düren,6,14659,50.5909631391200951
Konstanz,1,14474,91.1153846153846154
Gotha,3,14283,72.5513307984790875
Bremerhaven,2,14111,136.3788546255506608
Krefeld,1,13883,110.8508287292817680
Fulda,1,13880,87.6718750000000000
Minden,6,13675,91.6430205949656751
Lüneburg,1,13495,107.3521126760563380
Lutherstadt Wittenberg,3,13342,90.8928571428571429
Schleswig,2,13118,370.2250000000000000
Eisenach,3,13047,65.1595441595441595
Passau,1,12843,180.2810810810810811
Hamm,2,12750,73.9274193548387097
Siegen,1,12057,64.8089887640449438
Erlangen,1,11747,85.5187165775401070
Cottbus,1,11594,92.6160714285714286
Worms,3,11502,88.5352697095435685
Emden,3,10903,109.4487804878048780
Oberhausen,2,10739,138.4747191011235955
Bautzen,1,10363,100.2909090909090909
Aschaffenburg,1,10176,63.1038461538461538
Landshut,1,10030,56.9919354838709677
Kaiserslautern,1,9970,67.1904761904761905
Hof (Saale),1,9672,60.3544303797468354
Hagen,1,9566,66.7483221476510067
Ingolstadt,1,9563,149.7625899280575540
Meißen,2,9552,72.9631336405529954
Gelsenkirchen,2,9307,187.0637393767705382
Detmold,6,9229,107.5442622950819672
Baden-Baden,3,9096,75.7166666666666667
Altenburg,3,9084,53.9158878504672897
Plauen,1,9046,51.8872180451127820
Eichstätt,2,9016,60.4166666666666667
Freiberg,2,9003,80.7078651685393258
Celle,1,8998,48.0595238095238095
Fürth,1,8972,246.5912547528517110
Meiningen,2,8919,60.8439716312056738
Arnsberg,6,8822,47.8644067796610169
Solingen,2,8802,60.4475873544093178
Freising,3,8741,57.9503105590062112
Herford,6,8623,98.9098712446351931
Neuss,6,8506,209.9230769230769231
Ludwigsburg,2,8455,230.0000000000000000
Frankfurt (Oder),1,8085,57.7260273972602740
Berchtesgaden,2,7974,98.8106060606060606
Ansbach,1,7626,27.3043478260869565
Memmingen,1,7622,44.1250000000000000
Ludwigshafen am Rhein,1,7460,242.1504178272980501
Ludwigshafen am Rhein,5,7460,242.1504178272980501
Aurich,2,7295,220.8842105263157895
Bergisch Gladbach,6,7245,25.6155339805825243
Brilon,6,7237,26.6602870813397129
Iserlohn,6,7216,76.0918918918918919
Brandenburg an der Havel,1,7143,54.5000000000000000
Wilhelmshaven,1,7142,46.6491228070175439
Ravensburg,1,7030,117.8117647058823529
Soest,6,6928,30.3048780487804878
Remscheid,2,6833,52.3389355742296919
Herne,2,6799,151.7566666666666667
Bad Kissingen,2,6775,35.6911764705882353
Offenbach am Main,1,6676,304.1946308724832215
Witten,6,6661,45.5090497737556561
Garmisch-Partenkirchen,3,6649,52.1323529411764706
Pforzheim,1,6546,60.3116883116883117
