page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Iserlohn,6,7216,81.9139072847682119,302,1879
Brandenburg an der Havel,1,7143,55.6547619047619048,168,1361
Wilhelmshaven,1,7142,61.0839160839160839,144,1641
Ravensburg,1,7030,104.5000000000000000,125,1371
Soest,6,6928,56.1739130434782609,138,1547
Remscheid,2,6833,89.9302325581395349,1083,3157
Herne,2,6799,137.8066115702479339,618,2375
Bad Kissingen,2,6775,49.2281553398058252,208,2695
Offenbach am Main,1,6676,231.8982161594963274,963,1352
Witten,6,6661,75.7508610792192882,876,3781
Garmisch-Partenkirchen,3,6649,67.5948275862068966,122,860
Pforzheim,1,6546,53.2601626016260163,124,1253
Leverkusen,2,6486,104.4878472222222222,585,1830
Mülheim an der Ruhr,2,6452,170.8090452261306533,803,1411
Wetzlar,1,6439,120.2134146341463415,183,1227
Kempten (Allgäu),1,6346,37.3884514435695538,404,2425
Wolfsburg,1,6282,57.2739726027397260,147,2432
Salzgitter,1,6261,99.4050632911392405,160,2258
Goslar,2,6230,69.5031055900621118,167,1581
Nordhausen,3,6135,55.8150289017341040,175,1367
Rosenheim,1,6102,106.2666666666666667,77,892
Lüdenscheid,6,6095,64.5483870967741935,279,3166
Schweinfurt,1,6053,61.9391304347826087,116,1506
Gütersloh,6,6038,89.4192307692307692,261,2625
Eschweiler,6,5986,73.0113960113960114,351,1956
Amberg,1,5921,82.0568181818181818,91,1000
Pirna,2,5842,112.4261603375527426,237,1601
Stade,2,5824,57.1052631578947368,95,960
Straubing,1,5792,63.0325203252032520,123,1098
Reutlingen,1,5761,105.4761904761904762,128,1206
Neubrandenburg,1,5729,51.7977528089887640,89,980
Schwäbisch Hall,2,5710,52.2311111111111111,227,1884
Jülich,6,5698,63.9543568464730290,242,1608
Schwäbisch Gmünd,2,5681,60.7257142857142857,177,1645
Lindau (Bodensee),2,5662,115.0955056179775281,181,617
Kleve,6,5597,83.7431192660550459,111,1161
Halberstadt,3,5585,44.8493150684931507,75,719
Cheb,2,5583,40.4955752212389381,116,1079
Leer (Ostfriesland),2,5535,87.3829787234042553,141,1157
Zwickau,1,5491,81.8256880733944954,109,935
Recklinghausen,6,5414,108.9406779661016949,239,1163
Merseburg,3,5374,84.5471698113207547,111,779
Wolfenbüttel,2,5306,102.0937500000000000,195,743
Sigmaringen,2,5170,92.2521739130434783,117,1570
Cuxhaven,2,5147,314.8260869565217391,70,980
Norden (Ostfriesland),2,5139,80.3222222222222222,91,1271
Neuwied,5,5097,87.8522167487684729,204,1284
Friedrichshafen,1,5064,181.9182389937106918,161,1203
