page_id,page,min
174457,Diez,910.331079101551
3062,Ludwigshafen am Rhein,911.639852141592
193141,Dippoldiswalde,914.496523461549
42418,Ettlingen,915.87446085937
112532,Pößneck,923.336261752629
2741264,Dinkelsbühl,923.45737233657
15644,Minden,928.864598582384
494503,Goch,929.696960955727
33170,Zweibrücken,939.416974327076
139468,Bad Zwischenahn,958.228552460274
188164,Coswig (Sachsen),972.190571021063
98459,Alzey,973.764034180091
3437365,Abensberg,976.713609794751
289142,Schleiden,988.597706681227
1781163,Dinslaken,991.379420076584
11617,Pinneberg,992.616229614069
133395,Sulingen,994.764549274268
94950,Rheda-Wiedenbrück,995.100396113286
72043,Neunkirchen (Siegerland),995.341976750787
151860,Simmern/Hunsrück,996.611230792825
71218,Remagen,997.064016560332
2246972,Albstadt,1005.91295643642
73172,Düren,1009.50847743838
26819,Ilmenau,1020.64966463456
91996,Gmund am Tegernsee,1029.88885916574
763500,Oppenheim,1037.07532288744
18127,Künzelsau,1039.22467637578
122763,Kirchheimbolanden,1042.44950632149
116291,Bendorf,1043.81737936802
19138,Friedrichsdorf,1046.23452326401
69223,Michelstadt,1051.58953561003
260748,Hungen,1053.22323385809
189002,Geretsried,1056.1838468546
150292,Erbach (Odenwald),1057.00717712599
104151,Monschau,1061.15662849957
95571,Boppard,1064.53398164899
133335,Zwiesel,1065.7079389703
61752,Kitzingen,1067.27259798598
4231117,Laatzen,1067.49849088843
350139,Neuhaus am Rennweg,1069.10659750777
95448,Blomberg,1070.95278877064
2327838,Westerstede,1071.15870922966
2332,Hameln,1084.55604445228
4132200,Dorsten,1086.44072348526
86212,Greven,1087.47886902964
33751,Blieskastel,1093.04301683826
4187,Quedlinburg,1094.2034433912
53286,Riesa,1097.7173919301
95509,Beverungen,1099.02203278931
481394,Allendorf (Eder),1101.06171995084
1243,Eisenhüttenstadt,1102.54082915531
61808,Heinsberg,1113.32133627311
93789,Brühl (Rheinland),1115.16584938879
72013,Olpe,1115.53139069169
105135,Neutraubling,1117.66988592824
94273,Norden (Ostfriesland),1119.35745993666
348571,Bad Klosterlausnitz,1121.16238878371
21450,Detmold,1124.98325104376
219388,Grünstadt,1136.57723109457
32264,Bad Säckingen,1143.17903476542
149540,Waldbröl,1143.86047204124
8275,Wiesloch,1146.56782938381
3333933,Hildburghausen,1147.23836173682
82985,Bad Nauheim,1150.67224389015
169062,Weißwasser/Oberlausitz,1155.96889094527
14858,Herdecke,1165.51505117221
16926,Naumburg (Saale),1166.09789381218
3347283,Rudolstadt,1166.445678717
112745,Schopfheim,1170.8275214005
4468598,Rüdesheim am Rhein,1173.40942900966
564617,Gerolzhofen,1175.66479822112
142000,Niederkassel,1176.16708282851
218885,Lauter (Lauter-Bernsbach),1177.14834512144
4352760,Wernigerode,1178.25949493658
38235,Hamm,1179.98757786824
130508,Burglengenfeld,1188.33682695299
87894,Miltenberg,1190.81966790922
102375,Seevetal,1195.67778153347
81338,Münchberg,1198.98959782418
3606,Nidda,1204.81536399017
62967,Dillingen/Saar,1207.27590692536
16966,Bad Dürkheim,1207.53099843585
272222,Dierdorf,1223.84161935432
129693,Betzdorf,1224.37170926077
3207154,Ochsenfurt,1225.30083069398
34123,Landau in der Pfalz,1235.93511891128
116551,Bogen (Stadt),1236.47853150675
42523,Gelnhausen,1245.49601692283
41414,Ingelheim am Rhein,1252.26720253347
3644,Nördlingen,1260.13082382725
80590,Waldshut-Tiengen,1260.49235146921
3390424,Weiterstadt,1261.03739845458
1336576,Königstein im Taunus,1261.57693368595
2864050,Apolda,1263.47115463836
34395,Horn-Bad Meinberg,1277.95088243417
49888,Schwalmtal (Niederrhein),1281.92765201057
21550,Rüsselsheim am Main,1284.86895985064
16781,Bremervörde,1288.73831037471
3661662,Grevenbroich,1289.92583328441
122745,Altenkirchen (Westerwald),1293.63651313468
36778,Nordenham,1294.66259173029
95132,Radeberg,1296.10490407429
33589,Linz am Rhein,1296.63845018602
42227,Gummersbach,1301.12913670136
95131,Andernach,1302.35312628053
40650,Schwerte,1305.92533601895
272256,Nastätten,1308.35436829345
19264,Demmin,1308.59128315955
333661,Teublitz,1311.29206119979
707656,Borken (Hessen),1322.05699557335
744725,Wittingen,1322.5984648789
18440,Leer (Ostfriesland),1323.7141902239
93092,Lohmar,1324.11159918717
258185,Bad Wildungen,1330.42310175063
85383,Hechingen,1333.53237184026
192332,Schneeberg (Erzgebirge),1343.29837102538
671,Bad Homburg vor der Höhe,1347.24532907675
93799,Montabaur,1351.71994394457
3434813,Cochem,1352.74165994377
68449,Rheinbach,1355.80890627609
61762,Reichenbach im Vogtland,1357.99790458075
94931,Halle (Westf.),1364.37770228912
788599,Mörfelden-Walldorf,1366.0338779565
120180,Lindau (Bodensee),1366.44889379179
19489,Korschenbroich,1367.78770500915
47377,Frechen,1368.93135798211
374020,Gladenbach,1370.35672003267
4819921,Marienberg,1372.23408351752
92663,Uslar,1372.45941843394
142584,Fürstenwalde/Spree,1375.66003405535
95950,Bad Salzungen,1381.6807185799
108582,Bad Vilbel,1382.73166651681
496168,Rheine,1385.52479001819
191536,Waldkirch,1385.83123433648
57537,Emmerich am Rhein,1387.24749716984
124189,Mühlheim am Main,1388.3105160586
2624683,Nürtingen,1390.21064833799
71941,Selm,1393.57968957717
47410,Wermelskirchen,1395.16573652285
144021,Zella-Mehlis,1423.41723051311
110084,Crimmitschau,1426.79663848531
147555,Bornheim (Rheinland),1428.58572312111
83274,Lemgo,1430.42843145371
909333,Herrenberg,1432.30864295107
77991,Staufen im Breisgau,1434.10339685201
72046,Wetter (Ruhr),1435.65991789937
61345,Bad Ems,1435.76581115961
738335,Lößnitz (Erzgebirge),1436.72725409792
2968,Leonberg,1437.47574765491
143124,Horb am Neckar,1444.41465090301
95945,Bad Gandersheim,1444.45218691303
54869,Gevelsberg,1444.53764274209
114638,Kusel,1446.24873460864
49078,Donauwörth,1446.77233196703
3145441,Greiz,1446.78511311605
269409,Nierstein,1449.61875622477
95514,Bad Driburg,1452.15049590513
90059,Gaggenau,1454.94675353468
113920,Biberach an der Riß,1458.42247978888
4084139,Saarlouis,1463.89688548526
14060,Verden (Aller),1469.97327437125
6583364,Saalfeld (Mühlhausen),1470.88544402063
17804,Worms,1474.09726692827
113337,Delitzsch,1475.44429179793
104625,Waldsassen,1478.15319909054
111449,Bad Schwalbach,1480.17914921709
668167,Neustadt bei Coburg,1485.33624037962
9299,Seelow,1485.57598683542
157226,Eggenfelden,1488.30446011508
14240,Sondershausen,1488.46529779195
17616,St. Wendel,1490.69623889696
43023,Kirchheim unter Teck,1493.17565917639
3220348,Kirchen (Sieg),1494.26744288348
72047,Sprockhövel,1501.48452850988
1535076,Obernburg am Main,1505.41612742855
717226,Elsenfeld,1505.41612742859
68920,Homburg,1510.17548159103
152423,Heringen (Werra),1517.52163941617
