State,Name,Einwohner
Baden-Württemberg,Gernsbach,14.085
Baden-Württemberg,Haslach im Kinzigtal,6934
Baden-Württemberg,Hausach,5746
Baden-Württemberg,Wolfach,5774
Baden-Württemberg,Münsingen (Württemberg),14.399
Baden-Württemberg,Pfullendorf,13.104
Baden-Württemberg,Riedlingen,10.451
Baden-Württemberg,Tauberbischofsheim,13.201
Baden-Württemberg,Titisee-Neustadt,12.083
Baden-Württemberg,Walldorf (Baden),15.559
Baden-Württemberg,Ludwigshafen am Rhein,164.718
Baden-Württemberg,Neu-Ulm,57.237
Baden-Württemberg,Staufen im Breisgau,7726
