'Bad Schlema','Sachsen',2,10
'Schneeberg','Sachsen',2,10
'Schwarzenberg','Sachsen',2,10
'Saarbrücken','Saarland',1,
'Blieskastel','Saarland',2,
'Dillingen','Saarland',2,
'Homburg','Saarland',2,
'Lebach','Saarland',2,
'Merzig','Saarland',2,
'Neunkirchen','Saarland',2,
'Saarlouis','Saarland',2,
'St. Ingbert','Saarland',2,
'St. Wendel','Saarland',2,
'Völklingen','Saarland',2,
'Wadern','Saarland',2,
'Kaiserslautern','Rheinland-Pfalz',1,
'Koblenz','Rheinland-Pfalz',1,
'Ludwigshafen am Rhein','Rheinland-Pfalz',1,
'Mainz','Rheinland-Pfalz',1,
'Trier','Rheinland-Pfalz',1,
'Landau','Rheinland-Pfalz',3,
'Speyer','Rheinland-Pfalz',3,
'Worms','Rheinland-Pfalz',3,
'Zweibrücken','Rheinland-Pfalz',3,11
'Homburg','Rheinland-Pfalz',3,11
'Altenkirchen (Westerwald)','Rheinland-Pfalz',2,
'Alzey','Rheinland-Pfalz',2,
'Andernach','Rheinland-Pfalz',2,
'Bad Bergzabern','Rheinland-Pfalz',2,
'Bad Dürkheim','Rheinland-Pfalz',2,
'Bad Ems','Rheinland-Pfalz',2,
'Bad Kreuznach','Rheinland-Pfalz',2,
'Bingen am Rhein','Rheinland-Pfalz',2,
'Boppard','Rheinland-Pfalz',2,
'Dahn','Rheinland-Pfalz',2,
'Daun','Rheinland-Pfalz',2,
'Diez','Rheinland-Pfalz',2,
'Frankenthal (Pfalz)','Rheinland-Pfalz',2,
'Germersheim','Rheinland-Pfalz',2,
'Gerolstein','Rheinland-Pfalz',2,
'Grünstadt','Rheinland-Pfalz',2,
'Hermeskeil','Rheinland-Pfalz',2,
'Ingelheim am Rhein','Rheinland-Pfalz',2,
'Linz am Rhein','Rheinland-Pfalz',2,
'Mayen','Rheinland-Pfalz',2,
'Pirmasens','Rheinland-Pfalz',2,
'Prüm','Rheinland-Pfalz',2,
'Saarburg','Rheinland-Pfalz',2,
'Wittlich','Rheinland-Pfalz',2,
'Adenau','Rheinland-Pfalz',5,12
'Bad Neuenahr-Ahrweiler','Rheinland-Pfalz',5,12
'Remagen','Rheinland-Pfalz',5,12
'Sinzig','Rheinland-Pfalz',5,12
'Annweiler am Trifels',5,13
'Edenkoben','Rheinland-Pfalz',5,13
'Herxheim bei Landau/Pfalz','Rheinland-Pfalz',5,13
'Landau in der Pfalz','Rheinland-Pfalz',5,13
'Bad Sobernheim','Rheinland-Pfalz',5,14
'Kirn','Rheinland-Pfalz',5,14
'Meisenheim','Rheinland-Pfalz',5,14
'Baumholder','Rheinland-Pfalz',5,15
'Birkenfeld','Rheinland-Pfalz',5,15
'Idar-Oberstein','Rheinland-Pfalz',5,15
'Bendorf','Rheinland-Pfalz',5,16
'Höhr-Grenzhausen','Rheinland-Pfalz',5,16
'Koblenz','Rheinland-Pfalz',5,16
'Lahnstein','Rheinland-Pfalz',5,16
'Vallendar','Rheinland-Pfalz',5,16
'Bernkastel-Kues','Rheinland-Pfalz',5,17
'Traben-Trarbach','Rheinland-Pfalz',5,17
'Betzdorf','Rheinland-Pfalz',5,18
'Kirchen','Rheinland-Pfalz',5,18
'Wissen','Rheinland-Pfalz',5,18
'Bitburg','Rheinland-Pfalz',5,19
'Neuerburg','Rheinland-Pfalz',5,19
'Cochem','Rheinland-Pfalz',5,20
'Zell','Rheinland-Pfalz',5,20
'Dernbach','Rheinland-Pfalz',5,21
'Montabaur','Rheinland-Pfalz',5,21
'Wirges','Rheinland-Pfalz',5,21
'Dierdorf','Rheinland-Pfalz',5,22
'Neuwied','Rheinland-Pfalz',5,22
