place;state;center
Cham (Oberpfalz);Bayern;Mittelzentren
Dachau;Bayern;Mittelzentren
Dingolfing;Bayern;Mittelzentren
Dinkelsbühl;Bayern;Mittelzentren
Donauwörth;Bayern;Mittelzentren
Eggenfelden;Bayern;Mittelzentren
Eichstätt;Bayern;Mittelzentren
Erding;Bayern;Mittelzentren
Forchheim;Bayern;Mittelzentren
Freilassing;Bayern;Mittelzentren
Freyung;Bayern;Mittelzentren
Friedberg (Bayern);Bayern;Mittelzentren
Fürstenfeldbruck;Bayern;Mittelzentren
Füssen;Bayern;Mittelzentren
Germering;Bayern;Mittelzentren
Gerolzhofen;Bayern;Mittelzentren
Grafenau (Niederbayern);Bayern;Mittelzentren
Gunzenhausen;Bayern;Mittelzentren
Hammelburg;Bayern;Mittelzentren
Haßfurt;Bayern;Mittelzentren
Hersbruck;Bayern;Mittelzentren
Herzogenaurach;Bayern;Mittelzentren
Höchstadt a. d. Aisch;Bayern;Mittelzentren
Illertissen;Bayern;Mittelzentren
Karlstadt;Bayern;Mittelzentren
Kelheim;Bayern;Mittelzentren
Kitzingen;Bayern;Mittelzentren
Kronach;Bayern;Mittelzentren
Krumbach (Schwaben);Bayern;Mittelzentren
Landau an der Isar;Bayern;Mittelzentren
Landsberg am Lech;Bayern;Mittelzentren
Lauf an der Pegnitz;Bayern;Mittelzentren
Lichtenfels (Oberfranken);Bayern;Mittelzentren
Lindau (Bodensee);Bayern;Mittelzentren
Lindenberg im Allgäu;Bayern;Mittelzentren
Lohr am Main;Bayern;Mittelzentren
Mainburg;Bayern;Mittelzentren
Marktheidenfeld;Bayern;Mittelzentren
Marktoberdorf;Bayern;Mittelzentren
Miltenberg;Bayern;Mittelzentren
Mindelheim;Bayern;Mittelzentren
Moosburg an der Isar;Bayern;Mittelzentren
Murnau am Staffelsee;Bayern;Mittelzentren
Mühldorf am Inn;Bayern;Mittelzentren
Münchberg;Bayern;Mittelzentren
Naila;Bayern;Mittelzentren
Neuburg an der Donau;Bayern;Mittelzentren
Neustadt an der Aisch;Bayern;Mittelzentren
Neustadt bei Coburg;Bayern;Mittelzentren
Neutraubling;Bayern;Mittelzentren
Nördlingen;Bayern;Mittelzentren
Oberstdorf;Bayern;Mittelzentren
Ochsenfurt;Bayern;Mittelzentren
Parsberg;Bayern;Mittelzentren
Pegnitz (Stadt);Bayern;Mittelzentren
Penzberg;Bayern;Mittelzentren
Pfaffenhofen an der Ilm;Bayern;Mittelzentren
Pfarrkirchen;Bayern;Mittelzentren
Roth;Bayern;Mittelzentren
Rothenburg ob der Tauber;Bayern;Mittelzentren
Schrobenhausen;Bayern;Mittelzentren
Schwabmünchen;Bayern;Mittelzentren
Schwandorf;Bayern;Mittelzentren
Selb;Bayern;Mittelzentren
Starnberg;Bayern;Mittelzentren
Sulzbach-Rosenberg;Bayern;Mittelzentren
Tirschenreuth;Bayern;Mittelzentren
Viechtach;Bayern;Mittelzentren
Vilsbiburg;Bayern;Mittelzentren
Vilshofen an der Donau;Bayern;Mittelzentren
Waldkraiburg;Bayern;Mittelzentren
Wasserburg am Inn;Bayern;Mittelzentren
Weilheim in Oberbayern;Bayern;Mittelzentren
Weißenburg in Bayern;Bayern;Mittelzentren
Amberg;Brandenburg;Oberzentren
Ansbach;Brandenburg;Oberzentren
Aschaffenburg;Brandenburg;Oberzentren
Augsburg;Brandenburg;Oberzentren
Bamberg;Brandenburg;Oberzentren
Bayreuth;Brandenburg;Oberzentren
Coburg;Brandenburg;Oberzentren
Hof (Saale);Brandenburg;Oberzentren
Ingolstadt;Brandenburg;Oberzentren
Kaufbeuren;Brandenburg;Oberzentren
Kempten (Allgäu);Brandenburg;Oberzentren
Landshut;Brandenburg;Oberzentren
Memmingen;Brandenburg;Oberzentren
München;Brandenburg;Oberzentren
Passau;Brandenburg;Oberzentren
Regensburg;Brandenburg;Oberzentren
Rosenheim;Brandenburg;Oberzentren
Schweinfurt;Brandenburg;Oberzentren
Straubing;Brandenburg;Oberzentren
Traunstein;Brandenburg;Oberzentren
Weiden in der Oberpfalz;Brandenburg;Oberzentren
Würzburg;Brandenburg;Oberzentren
Freising;Brandenburg;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Garmisch-Partenkirchen;Brandenburg;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Kulmbach;Brandenburg;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Neumarkt in der Oberpfalz;Brandenburg;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Schwabach;Brandenburg;Mittelzentren mit oberzentralen Teilfunktionen, mögliche Oberzentren
Alzenau;Brandenburg;Mittelzentren
Aichach;Brandenburg;Mittelzentren
Bad Aibling;Brandenburg;Mittelzentren
Bad Brückenau;Brandenburg;Mittelzentren
Bad Kissingen;Brandenburg;Mittelzentren
Bad Kötzting;Brandenburg;Mittelzentren
Bad Neustadt an der Saale;Brandenburg;Mittelzentren
Bad Reichenhall;Brandenburg;Mittelzentren
Bad Tölz;Brandenburg;Mittelzentren
Bad Windsheim;Brandenburg;Mittelzentren
Bad Wörishofen;Brandenburg;Mittelzentren
Berchtesgaden;Brandenburg;Mittelzentren
Bogen (Stadt);Brandenburg;Mittelzentren
Burghausen;Brandenburg;Mittelzentren
Cham (Oberpfalz);Brandenburg;Mittelzentren
Dachau;Brandenburg;Mittelzentren
Dingolfing;Brandenburg;Mittelzentren
Dinkelsbühl;Brandenburg;Mittelzentren
Donauwörth;Brandenburg;Mittelzentren
Eggenfelden;Brandenburg;Mittelzentren
Eichstätt;Brandenburg;Mittelzentren
Erding;Brandenburg;Mittelzentren
Forchheim;Brandenburg;Mittelzentren
Freilassing;Brandenburg;Mittelzentren
Freyung;Brandenburg;Mittelzentren
Friedberg (Bayern);Brandenburg;Mittelzentren
Fürstenfeldbruck;Brandenburg;Mittelzentren
Füssen;Brandenburg;Mittelzentren
Germering;Brandenburg;Mittelzentren
Gerolzhofen;Brandenburg;Mittelzentren
Grafenau (Niederbayern);Brandenburg;Mittelzentren
Gunzenhausen;Brandenburg;Mittelzentren
Hammelburg;Brandenburg;Mittelzentren
Haßfurt;Brandenburg;Mittelzentren
Hersbruck;Brandenburg;Mittelzentren
Herzogenaurach;Brandenburg;Mittelzentren
Höchstadt a. d. Aisch;Brandenburg;Mittelzentren
Illertissen;Brandenburg;Mittelzentren
Karlstadt;Brandenburg;Mittelzentren
Kelheim;Brandenburg;Mittelzentren
Kitzingen;Brandenburg;Mittelzentren
Kronach;Brandenburg;Mittelzentren
Krumbach (Schwaben);Brandenburg;Mittelzentren
Landau an der Isar;Brandenburg;Mittelzentren
Landsberg am Lech;Brandenburg;Mittelzentren
Lauf an der Pegnitz;Brandenburg;Mittelzentren
Lichtenfels (Oberfranken);Brandenburg;Mittelzentren
Lindau (Bodensee);Brandenburg;Mittelzentren
Lindenberg im Allgäu;Brandenburg;Mittelzentren
